NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	85	44	79	3.06	3.06	570	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	5	7	1	H2041	0.55	0.83	960,1140,0.5
O1	5	7	2	H295	1.21	4.54	1020,1200,0.4
O1	5	7	3	H2404	5.59	4.05	1020,1200,0.91
O2	4	3	1	H599	3.6	3.48	660,840,0.79
O2	4	3	2	H163	1.5	1.86	600,780,0.53
O2	4	3	3	H2592	5.49	0.34	570,750,0.38
O3	2	6	1	H2155	1.47	1.54	960,1140,0.38
O3	2	6	2	H1601	4.58	2.66	1080,1260,0.34
O3	2	6	3	H2508	0.51	2.62	660,840,0.57
O4	9	5	1	H1699	0.93	5.49	870,1050,0.32
O4	9	5	2	H1314	1.39	0.78	630,810,0.39
O4	9	5	3	H386	4.37	0.77	1050,1230,0.36
O5	5	4	1	H1335	2.7	0.38	660,840,0.56
O5	5	4	2	H227	1.49	5.27	1080,1260,0.31
O5	5	4	3	H1317	5.04	1.22	870,1050,0.74
O6	9	7	1	H2209	1.72	3.11	1080,1260,0.56
O6	9	7	2	H2132	2.36	4.74	900,1080,0.63
O6	9	7	3	H698	4.77	5.17	720,900,0.67
O7	6	9	1	H2142	0.54	3.94	840,1020,0.91
O7	6	9	2	H2168	1.33	3.32	900,1080,0.61
O7	6	9	3	H2424	5.75	1.93	570,750,0.84
O8	2	6	1	H2093	4.2	4.36	630,810,0.73
O8	2	6	2	H2755	0.12	4.46	960,1140,0.48
O8	2	6	3	H1748	1.38	3.62	630,810,0.67
O9	10	7	1	H2681	1.99	4.53	900,1080,0.78
O9	10	7	2	H1629	2.62	3.48	720,900,0.24
O9	10	7	3	H1060	5.82	1.75	1050,1230,0.89
O10	1	10	1	H1010	4.7	4.33	870,1050,0.35
O10	1	10	2	H2595	3.94	0.5	540,720,0.87
O10	1	10	3	H157	5.3	3.82	690,870,0.23
O11	1	5	1	H2753	3.16	4.9	720,900,0.49
O11	1	5	2	H1566	2.4	4.52	570,750,0.4
O11	1	5	3	H1320	1.38	3.67	960,1140,0.28
O12	3	10	1	H2486	1.99	1.23	1080,1260,0.5
O12	3	10	2	H1493	2.65	5.82	960,1140,0.61
O12	3	10	3	H290	5.74	4.46	1080,1260,0.59
O13	4	2	1	H906	2.81	0.25	870,1050,0.59
O13	4	2	2	H1529	3.83	2.32	960,1140,0.57
O13	4	2	3	H1537	5.01	2.99	870,1050,0.55
O14	9	2	1	H381	0.42	1.83	540,720,0.82
O14	9	2	2	H851	5.72	2.46	870,1050,0.34
O14	9	2	3	H928	3.78	0.51	1080,1260,0.59
