NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	61	47	80	2.98	3.04	570	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	3	7	1	H868	3.2	1.0	1080,1260,0.83
O1	3	7	2	H1109	5.05	3.9	1020,1200,0.76
O1	3	7	3	H1580	5.35	2.97	630,810,0.62
O2	1	2	1	H1705	5.66	1.62	630,810,0.34
O2	1	2	2	H2391	5.82	0.62	840,1020,0.62
O2	1	2	3	H2971	3.61	2.94	1020,1200,0.74
O3	8	2	1	H2083	1.42	5.34	1020,1200,0.4
O3	8	2	2	H420	1.96	5.92	660,840,0.35
O3	8	2	3	H998	5.92	2.14	1020,1200,0.51
O4	8	3	1	H1927	2.59	0.02	570,750,0.36
O4	8	3	2	H2207	5.37	2.11	540,720,0.52
O4	8	3	3	H548	0.29	4.19	1050,1230,0.82
O5	6	10	1	H2197	3.8	2.66	540,720,0.64
O5	6	10	2	H2766	5.47	2.12	720,900,0.47
O5	6	10	3	H1721	4.19	0.29	1050,1230,0.28
O6	2	9	1	H1590	1.69	2.31	870,1050,0.54
O6	2	9	2	H2903	0.16	2.07	1080,1260,0.31
O6	2	9	3	H1943	0.31	3.03	960,1140,0.24
O7	6	1	1	H700	5.68	3.25	540,720,0.24
O7	6	1	2	H2447	4.64	5.84	1020,1200,0.61
O7	6	1	3	H2446	3.57	4.95	840,1020,0.52
O8	1	1	1	H126	5.93	2.48	570,750,0.37
O8	1	1	2	H2225	4.2	2.98	1050,1230,1.0
O8	1	1	3	H1752	4.88	5.15	870,1050,0.37
O9	5	7	1	H1764	3.57	1.5	960,1140,0.58
O9	5	7	2	H1480	3.21	4.67	600,780,0.44
O9	5	7	3	H1603	0.17	5.9	630,810,0.24
O10	10	7	1	H1256	0.05	3.61	690,870,0.39
O10	10	7	2	H2453	0.54	1.84	870,1050,0.52
O10	10	7	3	H2204	5.2	2.16	660,840,0.94
O11	4	2	1	H1983	2.93	1.22	1050,1230,0.51
O11	4	2	2	H256	1.69	4.96	660,840,0.34
O11	4	2	3	H2324	3.59	0.68	600,780,0.37
O12	7	1	1	H536	4.09	0.7	870,1050,0.75
O12	7	1	2	H1498	1.36	0.16	1080,1260,0.35
O12	7	1	3	H824	1.25	2.65	570,750,0.96
O13	10	1	1	H106	1.47	5.62	540,720,0.71
O13	10	1	2	H668	5.28	0.25	1020,1200,0.63
O13	10	1	3	H2522	0.67	4.61	1050,1230,0.36
O14	3	7	1	H2376	1.72	2.4	600,780,0.92
O14	3	7	2	H2267	4.03	2.03	870,1050,0.73
O14	3	7	3	H1970	5.65	3.85	960,1140,0.9
O15	4	5	1	H78	3.32	1.25	720,900,0.35
O15	4	5	2	H1626	0.33	1.09	600,780,0.9
O15	4	5	3	H2276	2.21	3.98	1020,1200,0.86
O16	10	5	1	H2266	4.16	0.07	600,780,0.94
O16	10	5	2	H1155	1.06	5.78	600,780,0.58
O16	10	5	3	H740	3.35	1.32	660,840,0.49
O17	9	1	1	H1603	0.17	5.9	630,810,0.24
O17	9	1	2	H760	1.34	3.38	1050,1230,0.64
O17	9	1	3	H578	4.16	5.12	870,1050,0.72
O18	6	9	1	H2118	4.89	4.42	690,870,0.95
O18	6	9	2	H2215	1.53	6.0	1050,1230,0.65
O18	6	9	3	H1330	4.88	1.35	1050,1230,0.25
O19	1	8	1	H788	0.76	5.77	870,1050,0.29
O19	1	8	2	H2902	1.32	4.58	630,810,0.66
O19	1	8	3	H2336	3.17	4.83	540,720,0.91
O20	2	6	1	H1707	1.42	5.38	840,1020,0.64
O20	2	6	2	H476	0.57	5.27	900,1080,0.76
O20	2	6	3	H585	0.89	5.44	870,1050,0.78
O21	3	10	1	H2086	2.1	1.56	690,870,0.86
O21	3	10	2	H72	1.13	4.67	720,900,0.69
O21	3	10	3	H1073	4.99	5.36	690,870,0.32
O22	8	7	1	H2795	1.23	5.36	720,900,0.29
O22	8	7	2	H1825	2.55	1.82	1080,1260,0.61
O22	8	7	3	H1308	2.89	5.01	1050,1230,0.23
O23	7	6	1	H1375	0.83	1.46	570,750,0.87
O23	7	6	2	H1578	2.29	5.25	720,900,0.52
O23	7	6	3	H660	5.68	5.26	690,870,0.52
O24	9	4	1	H459	4.01	0.84	630,810,0.26
O24	9	4	2	H918	1.83	3.89	870,1050,0.59
O24	9	4	3	H2115	1.41	2.65	690,870,0.65
O25	7	3	1	H1058	3.99	4.22	540,720,0.32
O25	7	3	2	H2216	3.51	4.29	540,720,0.28
O25	7	3	3	H43	2.98	2.74	900,1080,0.31
O26	2	3	1	H1325	1.1	4.68	900,1080,0.32
O26	2	3	2	H1372	2.17	2.37	840,1020,0.54
O26	2	3	3	H1616	2.77	2.75	1020,1200,0.75
O27	3	4	1	H417	0.19	5.26	1020,1200,0.69
O27	3	4	2	H1888	0.71	5.37	1020,1200,0.3
O27	3	4	3	H1142	1.37	1.34	720,900,0.29
O28	4	5	1	H2482	3.37	4.89	870,1050,0.75
O28	4	5	2	H1364	2.94	4.82	660,840,0.46
O28	4	5	3	H598	1.25	1.51	840,1020,0.56
O29	2	2	1	H2764	4.22	2.03	660,840,0.93
O29	2	2	2	H1801	5.47	2.99	870,1050,0.74
O29	2	2	3	H1392	3.99	1.27	1020,1200,0.33
O30	3	5	1	H658	3.16	3.09	690,870,0.55
O30	3	5	2	H1704	4.49	1.99	690,870,0.27
O30	3	5	3	H1177	3.94	0.37	630,810,0.61
O31	5	7	1	H2127	5.13	1.96	600,780,0.76
O31	5	7	2	H237	2.66	4.08	1080,1260,0.83
O31	5	7	3	H1040	2.78	2.66	660,840,0.57
O32	8	3	1	H1027	3.98	5.94	1080,1260,0.4
O32	8	3	2	H1088	4.82	4.16	660,840,0.97
O32	8	3	3	H661	0.45	4.95	1050,1230,0.6
O33	1	7	1	H2151	3.3	4.93	570,750,0.58
O33	1	7	2	H2982	5.06	3.83	1020,1200,0.27
O33	1	7	3	H1985	4.33	5.68	900,1080,0.34
O34	4	7	1	H122	5.02	0.08	960,1140,0.65
O34	4	7	2	H2913	5.41	5.84	870,1050,0.69
O34	4	7	3	H1114	4.09	2.78	540,720,0.86
O35	10	9	1	H1898	1.83	2.56	570,750,0.43
O35	10	9	2	H94	5.72	0.51	870,1050,0.49
O35	10	9	3	H1523	3.53	4.75	600,780,0.84
O36	7	10	1	H2256	1.67	4.86	600,780,0.48
O36	7	10	2	H758	3.9	1.52	690,870,0.97
O36	7	10	3	H219	5.03	0.21	660,840,0.65
O37	8	8	1	H1833	4.05	0.69	570,750,0.95
O37	8	8	2	H637	3.27	5.76	900,1080,0.39
O37	8	8	3	H208	5.86	1.74	720,900,0.51
O38	7	3	1	H1877	2.17	1.95	1050,1230,0.43
O38	7	3	2	H1060	3.94	5.22	840,1020,0.65
O38	7	3	3	H2733	0.68	1.87	1020,1200,0.61
O39	9	3	1	H835	4.33	4.32	1080,1260,0.99
O39	9	3	2	H2917	4.77	3.91	1080,1260,0.41
O39	9	3	3	H2079	2.43	4.07	600,780,0.23
O40	5	3	1	H2480	5.68	4.67	660,840,0.44
O40	5	3	2	H1809	3.81	2.81	1080,1260,0.22
O40	5	3	3	H103	1.44	5.27	840,1020,0.87
O41	4	10	1	H2241	4.58	2.37	840,1020,0.91
O41	4	10	2	H466	0.29	3.06	1020,1200,0.35
