NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	77	50	80	2.99	3.02	570	1320

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	3	2	1	H1644	2.17	4.52	600,780,0.34
O1	3	2	2	H2939	5.2	1.15	690,870,0.27
O1	3	2	3	H1481	5.02	3.35	690,870,0.36
O2	7	5	1	H2007	4.27	2.53	840,1020,1.0
O2	7	5	2	H962	0.36	4.06	1020,1200,0.94
O2	7	5	3	H1826	0.72	1.21	1020,1200,0.31
O3	8	4	1	H1019	0.41	3.59	660,840,0.25
O3	8	4	2	H905	3.66	5.05	540,720,0.99
O3	8	4	3	H603	0.75	2.17	900,1080,0.49
O4	2	6	1	H1523	5.24	5.69	600,780,0.34
O4	2	6	2	H2328	1.65	0.79	900,1080,0.21
O4	2	6	3	H2679	4.1	3.79	600,780,0.53
O5	2	10	1	H1987	0.83	4.86	540,720,0.49
O5	2	10	2	H792	1.71	1.39	960,1140,0.44
O5	2	10	3	H2465	0.58	4.87	630,810,0.28
O6	1	4	1	H2837	1.25	2.31	660,840,0.82
O6	1	4	2	H171	1.61	4.25	630,810,0.44
O6	1	4	3	H1287	3.82	5.54	870,1050,1.0
O7	9	6	1	H646	1.4	5.65	630,810,0.47
O7	9	6	2	H1706	1.3	0.83	900,1080,0.98
O7	9	6	3	H241	3.98	4.96	840,1020,0.47
O8	8	7	1	H439	1.41	3.64	840,1020,0.91
O8	8	7	2	H1657	0.66	3.98	570,750,0.34
O8	8	7	3	H211	3.29	5.04	540,720,0.35
O9	5	2	1	H1329	4.79	4.48	720,900,0.7
O9	5	2	2	H12	0.46	4.47	840,1020,0.97
O9	5	2	3	H831	0.87	4.86	720,900,0.59
O10	6	2	1	H1271	4.46	1.71	840,1020,0.92
O10	6	2	2	H2720	2.41	2.2	570,750,0.48
O10	6	2	3	H186	0.87	2.13	660,840,0.67
O11	2	3	1	H1552	2.95	2.43	1080,1260,0.67
O11	2	3	2	H2343	4.62	3.14	900,1080,0.41
O11	2	3	3	H2624	4.88	3.86	1050,1230,0.85
O12	3	9	1	H1766	2.94	2.62	1050,1230,0.89
O12	3	9	2	H2789	0.53	5.99	600,780,1.0
O12	3	9	3	H1607	2.9	4.69	690,870,0.81
O13	10	10	1	H2278	0.34	3.05	570,750,0.43
O13	10	10	2	H2550	4.96	5.39	600,780,0.27
O13	10	10	3	H363	1.81	2.67	1080,1260,0.37
O14	8	7	1	H664	0.73	2.93	630,810,0.93
O14	8	7	2	H2304	5.44	5.99	570,750,0.5
O14	8	7	3	H2496	0.68	3.09	690,870,0.27
O15	9	2	1	H818	0.4	3.52	570,750,0.95
O15	9	2	2	H1980	5.16	3.79	1050,1230,0.38
O15	9	2	3	H2597	4.64	4.56	900,1080,0.76
O16	7	7	1	H1524	3.46	3.82	540,720,0.51
O16	7	7	2	H1375	1.53	5.19	1080,1260,0.89
O16	7	7	3	H2226	0.65	2.61	690,870,0.98
O17	5	4	1	H603	0.75	2.17	900,1080,0.49
O17	5	4	2	H1784	4.08	4.46	900,1080,0.54
O17	5	4	3	H1153	1.4	0.7	960,1140,0.51
O18	6	10	1	H1062	1.12	3.17	630,810,0.71
O18	6	10	2	H2426	4.47	3.09	660,840,0.58
O18	6	10	3	H1552	2.95	2.43	1080,1260,0.67
O19	5	2	1	H1135	0.77	0.42	690,870,0.23
O19	5	2	2	H1613	4.76	5.79	570,750,0.52
O19	5	2	3	H1644	2.17	4.52	600,780,0.34
O20	10	10	1	H2755	4.32	1.19	690,870,0.87
O20	10	10	2	H1201	3.29	5.55	720,900,0.23
O20	10	10	3	H1198	2.46	0.81	870,1050,0.84
O21	7	1	1	H318	5.61	5.44	1080,1260,0.84
O21	7	1	2	H2682	5.0	3.5	1080,1260,0.27
O21	7	1	3	H2968	4.77	3.35	690,870,0.81
O22	1	4	1	H2781	1.8	2.31	960,1140,0.82
O22	1	4	2	H2520	2.95	5.17	660,840,0.57
O22	1	4	3	H44	1.89	4.69	900,1080,0.65
O23	2	4	1	H1650	4.65	5.9	570,750,0.94
O23	2	4	2	H2803	3.39	0.13	1020,1200,0.43
O23	2	4	3	H2108	1.3	2.62	720,900,0.29
O24	3	8	1	H580	5.61	0.94	720,900,0.99
O24	3	8	2	H1442	1.65	4.43	660,840,0.94
O24	3	8	3	H2108	1.3	2.62	720,900,0.29
O25	1	7	1	H9	5.82	2.58	1020,1200,0.8
O25	1	7	2	H2914	5.35	1.22	660,840,0.89
O25	1	7	3	H2220	4.23	1.18	570,750,0.21
O26	3	1	1	H418	2.39	4.19	1050,1230,0.41
O26	3	1	2	H1099	3.21	0.82	630,810,0.85
O26	3	1	3	H381	0.08	3.94	840,1020,0.2
O27	10	6	1	H144	3.34	1.21	540,720,0.87
O27	10	6	2	H251	2.38	1.58	900,1080,0.8
O27	10	6	3	H1374	4.01	5.44	630,810,0.28
O28	4	7	1	H1314	5.31	0.82	960,1140,0.72
O28	4	7	2	H123	2.18	2.1	960,1140,0.37
O28	4	7	3	H840	0.94	5.18	1080,1260,0.56
O29	2	9	1	H2463	2.31	2.51	630,810,0.27
O29	2	9	2	H28	2.62	2.44	570,750,0.57
O29	2	9	3	H1884	5.72	0.75	870,1050,0.28
O30	2	6	1	H2879	4.76	1.38	720,900,0.75
O30	2	6	2	H631	1.45	2.76	540,720,0.32
O30	2	6	3	H1610	0.51	4.9	840,1020,0.67
O31	1	2	1	H2089	2.43	0.23	900,1080,0.8
O31	1	2	2	H96	1.32	3.0	690,870,0.59
O31	1	2	3	H2633	5.8	3.3	960,1140,0.28
O32	10	7	1	H2990	5.63	4.97	540,720,0.96
O32	10	7	2	H2004	0.1	3.17	900,1080,0.66
O32	10	7	3	H1428	1.74	2.81	720,900,0.37
O33	3	8	1	H2726	0.12	3.98	960,1140,0.8
O33	3	8	2	H222	5.77	3.59	900,1080,0.56
O33	3	8	3	H2132	0.88	3.12	720,900,0.91
O34	3	7	1	H777	0.2	3.62	1020,1200,0.61
O34	3	7	2	H102	2.64	4.01	540,720,0.69
O34	3	7	3	H1586	3.98	3.68	870,1050,0.62
O35	2	8	1	H1937	4.74	2.68	840,1020,0.7
O35	2	8	2	H2002	4.01	5.8	720,900,0.79
O35	2	8	3	H2963	2.01	3.12	1020,1200,0.22
O36	3	10	1	H864	3.43	5.23	960,1140,0.39
O36	3	10	2	H1220	5.24	5.93	900,1080,0.5
O36	3	10	3	H2266	4.06	0.51	570,750,0.34
O37	6	8	1	H1484	0.05	0.62	960,1140,0.57
O37	6	8	2	H2715	2.04	1.34	720,900,0.62
O37	6	8	3	H1630	0.66	4.82	630,810,0.61
O38	2	8	1	H1491	1.54	2.55	1020,1200,0.26
O38	2	8	2	H1868	5.33	4.53	600,780,0.76
O38	2	8	3	H869	4.28	4.6	870,1050,0.4
O39	7	3	1	H2153	0.08	2.11	660,840,0.77
