NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	51	49	72	3.05	3.04	570	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	3	2	1	H1010	0.69	3.81	540,720,0.25
O1	3	2	2	H2508	5.68	4.94	690,870,0.99
O1	3	2	3	H77	0.78	5.95	720,900,0.41
O2	6	1	1	H1387	4.88	3.62	690,870,0.31
O2	6	1	2	H2391	4.45	3.07	630,810,0.61
O2	6	1	3	H2249	5.65	1.51	630,810,0.94
O3	3	9	1	H2232	5.61	4.37	1080,1260,0.3
O3	3	9	2	H480	5.19	2.82	600,780,0.57
O3	3	9	3	H2526	2.25	2.39	870,1050,0.27
O4	9	2	1	H716	0.19	4.84	570,750,0.59
O4	9	2	2	H2450	0.29	4.29	960,1140,0.23
O4	9	2	3	H1756	0.21	4.63	1050,1230,0.55
O5	3	1	1	H915	1.78	2.09	1020,1200,0.57
O5	3	1	2	H211	4.37	5.42	960,1140,0.39
O5	3	1	3	H2453	5.64	3.66	540,720,0.46
O6	8	7	1	H1836	1.05	4.66	690,870,0.58
O6	8	7	2	H2270	2.39	0.65	540,720,0.72
O6	8	7	3	H2562	2.39	0.81	600,780,0.82
O7	1	10	1	H1766	5.82	5.97	540,720,0.41
O7	1	10	2	H272	4.57	3.23	540,720,0.26
O7	1	10	3	H2761	1.58	1.36	630,810,0.92
O8	6	7	1	H2048	5.91	5.74	1050,1230,0.5
O8	6	7	2	H1943	0.13	3.95	1080,1260,0.34
O8	6	7	3	H2122	0.34	5.67	660,840,0.99
O9	8	10	1	H1427	1.12	5.59	600,780,0.27
O9	8	10	2	H2597	5.84	5.4	870,1050,0.99
O9	8	10	3	H115	3.11	5.89	600,780,0.43
O10	2	9	1	H360	1.94	0.15	960,1140,0.53
O10	2	9	2	H368	1.84	2.69	570,750,0.72
O10	2	9	3	H1146	0.79	3.94	1050,1230,0.8
O11	3	4	1	H3000	4.75	1.52	1050,1230,0.66
O11	3	4	2	H284	5.5	0.09	1050,1230,0.94
O11	3	4	3	H1961	4.4	0.17	630,810,0.93
O12	10	1	1	H2460	4.7	4.75	540,720,0.99
O12	10	1	2	H1166	1.09	1.45	660,840,0.26
O12	10	1	3	H2932	5.0	0.19	840,1020,0.99
O13	2	4	1	H888	0.92	3.95	840,1020,0.79
O13	2	4	2	H2626	4.64	2.73	720,900,0.75
O13	2	4	3	H1321	1.31	1.5	1020,1200,0.56
O14	1	6	1	H2958	5.0	1.32	1050,1230,0.39
O14	1	6	2	H218	3.97	5.12	960,1140,0.73
O14	1	6	3	H1355	2.0	5.8	600,780,0.83
O15	6	6	1	H1607	1.1	0.75	1020,1200,0.56
O15	6	6	2	H2655	5.06	3.24	900,1080,0.21
O15	6	6	3	H2514	4.06	4.68	840,1020,0.83
O16	2	8	1	H932	2.94	2.09	840,1020,0.95
O16	2	8	2	H2739	5.87	1.6	960,1140,0.5
O16	2	8	3	H2372	2.45	2.81	600,780,0.87
O17	6	3	1	H2868	4.4	3.78	690,870,0.56
O17	6	3	2	H1934	5.95	3.34	540,720,0.28
O17	6	3	3	H1730	3.38	3.39	1080,1260,0.29
O18	6	10	1	H307	0.25	3.85	900,1080,0.66
O18	6	10	2	H2279	0.85	0.47	660,840,0.34
O18	6	10	3	H756	4.15	5.61	600,780,0.5
O19	3	3	1	H913	1.47	0.46	1080,1260,0.62
O19	3	3	2	H846	5.52	3.9	540,720,0.38
O19	3	3	3	H2920	3.98	2.47	660,840,0.68
O20	8	1	1	H1287	2.42	1.84	660,840,0.33
O20	8	1	2	H2396	5.86	5.44	690,870,0.82
O20	8	1	3	H803	0.74	2.31	570,750,0.63
O21	10	3	1	H2128	3.38	2.99	690,870,0.67
O21	10	3	2	H2670	1.17	5.55	840,1020,0.89
O21	10	3	3	H2075	2.52	3.32	570,750,0.34
O22	7	2	1	H2909	4.69	3.22	660,840,0.96
O22	7	2	2	H1523	3.89	2.06	1080,1260,0.56
O22	7	2	3	H126	1.54	5.42	1050,1230,0.21
O23	10	1	1	H181	4.27	4.42	570,750,0.83
