NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	85	57	76	2.96	3.0	570	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	10	5	1	H95	5.52	3.63	1020,1200,0.68
O1	10	5	2	H851	2.47	3.65	960,1140,0.86
O1	10	5	3	H2533	4.83	5.81	690,870,0.69
O2	8	1	1	H1758	4.15	2.79	660,840,0.33
O2	8	1	2	H2678	2.61	4.38	570,750,0.88
O2	8	1	3	H2513	1.09	0.49	690,870,0.64
O3	2	6	1	H1645	4.96	4.8	960,1140,0.39
O3	2	6	2	H552	5.37	5.48	570,750,0.6
O3	2	6	3	H2800	1.08	5.37	690,870,0.38
O4	10	7	1	H1397	5.27	2.34	1020,1200,0.52
O4	10	7	2	H1094	4.73	5.1	630,810,0.52
O4	10	7	3	H982	4.44	3.29	900,1080,0.62
O5	9	1	1	H901	5.32	2.18	870,1050,0.64
O5	9	1	2	H607	0.49	5.32	690,870,0.8
O5	9	1	3	H2008	2.38	1.17	720,900,0.54
O6	7	3	1	H1323	4.61	3.78	960,1140,0.67
O6	7	3	2	H1561	0.76	0.29	630,810,0.55
O6	7	3	3	H1553	3.54	0.83	1050,1230,0.85
O7	4	8	1	H706	2.69	5.58	690,870,0.35
O7	4	8	2	H1452	1.4	2.75	660,840,0.55
O7	4	8	3	H15	4.1	2.21	960,1140,0.54
O8	8	7	1	H1755	5.27	3.73	840,1020,0.52
O8	8	7	2	H423	1.99	4.86	630,810,0.7
O8	8	7	3	H2557	0.45	3.15	570,750,0.97
O9	10	8	1	H2926	2.41	3.91	660,840,0.63
O9	10	8	2	H1259	1.12	0.77	1080,1260,0.54
O9	10	8	3	H1935	4.76	2.33	630,810,0.69
O10	1	3	1	H2181	0.69	2.79	570,750,0.39
O10	1	3	2	H2485	4.84	0.18	1020,1200,0.74
O10	1	3	3	H1770	0.73	0.05	1080,1260,0.71
O11	5	7	1	H1623	2.56	4.15	1050,1230,0.41
O11	5	7	2	H1211	3.46	4.67	660,840,0.98
O11	5	7	3	H548	4.13	0.75	900,1080,0.43
O12	5	9	1	H2408	4.64	2.55	1050,1230,0.43
O12	5	9	2	H2060	3.71	0.64	1050,1230,0.42
O12	5	9	3	H2557	0.45	3.15	570,750,0.97
O13	9	10	1	H271	3.73	4.25	1050,1230,0.42
O13	9	10	2	H1320	2.5	1.29	630,810,0.47
O13	9	10	3	H635	1.53	4.26	660,840,0.21
O14	1	2	1	H1767	2.9	5.99	870,1050,0.52
O14	1	2	2	H753	5.93	5.18	540,720,0.49
O14	1	2	3	H900	3.62	3.15	1050,1230,0.82
O15	9	1	1	H2442	5.48	2.66	960,1140,0.81
O15	9	1	2	H649	4.47	1.51	600,780,0.37
O15	9	1	3	H2602	5.37	1.24	690,870,0.27
O16	9	9	1	H481	5.3	5.18	540,720,0.83
O16	9	9	2	H566	2.35	5.11	1020,1200,0.51
O16	9	9	3	H1313	5.58	2.02	1050,1230,0.48
O17	1	6	1	H2918	2.25	4.86	570,750,0.53
O17	1	6	2	H2714	0.31	4.69	690,870,0.99
O17	1	6	3	H221	1.78	4.89	840,1020,0.61
O18	10	6	1	H1814	0.92	3.02	660,840,0.88
O18	10	6	2	H2782	1.49	5.09	540,720,0.57
O18	10	6	3	H1692	2.07	4.97	840,1020,0.76
O19	7	6	1	H1407	1.27	1.74	570,750,0.39
O19	7	6	2	H1014	2.47	3.64	570,750,0.34
O19	7	6	3	H2891	4.54	1.76	1050,1230,0.58
O20	8	7	1	H680	2.63	5.63	870,1050,0.88
O20	8	7	2	H750	5.66	0.83	600,780,0.42
