NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	95	48	72	3.0	2.92	600	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	5	3	1	H1755	3.96	0.05	840,1020,0.6
O1	5	3	2	H252	2.77	2.47	900,1080,0.83
O1	5	3	3	H2594	2.22	5.29	840,1020,0.43
O2	6	4	1	H2711	2.72	2.03	600,780,0.89
O2	6	4	2	H750	0.45	1.39	1080,1260,0.32
O2	6	4	3	H1233	2.53	2.56	630,810,0.77
O3	2	7	1	H594	0.68	0.75	1020,1200,0.84
O3	2	7	2	H846	5.62	5.96	1080,1260,0.59
O3	2	7	3	H2503	2.87	3.06	960,1140,0.76
O4	6	1	1	H2142	2.08	5.6	720,900,0.87
O4	6	1	2	H900	5.25	1.03	840,1020,0.38
O4	6	1	3	H776	5.53	1.73	660,840,0.93
O5	3	8	1	H2286	5.37	2.95	690,870,0.52
O5	3	8	2	H2840	1.32	1.6	1080,1260,0.29
O5	3	8	3	H675	2.35	4.82	840,1020,0.48
O6	8	4	1	H99	1.12	0.8	1020,1200,0.29
O6	8	4	2	H231	3.06	4.68	1020,1200,0.56
O6	8	4	3	H48	3.33	4.49	840,1020,0.31
O7	3	4	1	H904	5.28	4.02	720,900,0.79
O7	3	4	2	H173	3.47	2.52	960,1140,0.37
O7	3	4	3	H1561	0.17	3.24	840,1020,0.8
O8	1	2	1	H2871	5.53	4.21	900,1080,0.61
O8	1	2	2	H1298	2.78	1.75	600,780,0.79
O8	1	2	3	H2657	1.09	2.22	600,780,0.94
O9	5	1	1	H2261	4.88	5.57	570,750,0.58
O9	5	1	2	H742	1.94	1.77	660,840,0.66
O9	5	1	3	H1585	0.89	5.87	1020,1200,0.59
O10	6	3	1	H1148	4.58	2.08	660,840,0.52
O10	6	3	2	H2832	3.4	3.95	570,750,0.68
O10	6	3	3	H1642	2.38	1.83	660,840,0.91
O11	10	10	1	H2423	4.8	0.14	1020,1200,0.35
O11	10	10	2	H549	4.75	1.19	900,1080,0.65
O11	10	10	3	H655	5.7	1.24	1080,1260,0.26
O12	5	5	1	H223	4.35	2.37	690,870,0.6
O12	5	5	2	H2178	4.84	0.25	870,1050,0.82
O12	5	5	3	H1702	4.74	4.32	1080,1260,0.75
O13	6	7	1	H742	1.94	1.77	660,840,0.66
O13	6	7	2	H1487	4.7	5.38	1050,1230,0.39
O13	6	7	3	H649	0.23	0.69	840,1020,0.53
O14	7	3	1	H977	1.96	3.97	1080,1260,0.91
O14	7	3	2	H911	4.92	0.1	960,1140,0.48
O14	7	3	3	H1365	0.61	0.99	960,1140,0.68
O15	10	7	1	H168	5.64	3.19	690,870,0.98
O15	10	7	2	H1213	4.96	2.07	660,840,0.32
O15	10	7	3	H1352	2.15	4.2	570,750,0.55
O16	6	10	1	H689	5.03	1.39	660,840,0.59
O16	6	10	2	H1562	2.75	4.07	960,1140,0.98
O16	6	10	3	H2313	3.93	1.86	630,810,0.82
O17	6	10	1	H2272	2.66	2.55	570,750,0.38
O17	6	10	2	H867	0.96	4.6	870,1050,0.69
O17	6	10	3	H2401	0.57	5.75	900,1080,0.6
O18	9	9	1	H2391	5.18	2.06	720,900,0.69
O18	9	9	2	H639	2.35	3.25	1080,1260,0.2
O18	9	9	3	H236	3.39	0.62	1080,1260,0.59
O19	4	3	1	H1756	2.85	5.85	690,870,0.28
O19	4	3	2	H1862	4.0	3.1	1050,1230,0.8
O19	4	3	3	H2987	2.24	0.63	540,720,0.53
O20	5	9	1	H2279	0.49	3.98	720,900,0.76
O20	5	9	2	H1588	4.52	3.08	630,810,0.5
O20	5	9	3	H981	3.07	5.52	660,840,0.87
O21	8	3	1	H2577	5.45	1.75	630,810,0.29
O21	8	3	2	H157	4.65	3.8	600,780,0.88
O21	8	3	3	H282	3.22	4.59	900,1080,0.73
O22	8	4	1	H2312	2.75	4.99	630,810,0.5
O22	8	4	2	H1162	0.05	3.13	1080,1260,0.43
O22	8	4	3	H488	1.1	2.79	870,1050,0.67
O23	6	6	1	H904	5.28	4.02	720,900,0.79
O23	6	6	2	H2281	2.68	3.8	570,750,0.68
O23	6	6	3	H2420	0.2	3.11	840,1020,0.75
O24	7	5	1	H1094	2.2	4.8	720,900,0.41
O24	7	5	2	H2887	0.92	1.21	1050,1230,0.99
O24	7	5	3	H3	5.1	4.46	540,720,0.37
O25	8	7	1	H1402	0.28	3.81	660,840,0.98
O25	8	7	2	H2676	3.86	0.86	1020,1200,0.66
O25	8	7	3	H2072	0.15	0.16	1050,1230,0.81
O26	5	9	1	H2686	0.31	0.98	720,900,0.92
O26	5	9	2	H113	5.06	1.05	720,900,0.7
O26	5	9	3	H1824	3.86	0.35	1080,1260,0.67
O27	7	4	1	H852	2.68	0.35	1080,1260,0.23
O27	7	4	2	H2148	1.85	2.85	540,720,0.63
O27	7	4	3	H1063	2.08	3.19	870,1050,0.58
O28	1	9	1	H239	0.78	3.4	570,750,0.93
O28	1	9	2	H2705	2.8	2.28	630,810,0.35
O28	1	9	3	H1515	1.45	3.93	720,900,0.55
O29	4	1	1	H2139	1.3	5.41	690,870,0.33
O29	4	1	2	H1297	4.2	5.3	600,780,0.75
O29	4	1	3	H565	0.19	5.67	1020,1200,0.25
O30	8	3	1	H1859	1.72	0.58	570,750,0.54
O30	8	3	2	H1378	3.7	3.36	1050,1230,0.85
O30	8	3	3	H2477	0.71	1.91	630,810,0.26
O31	9	5	1	H2647	1.73	2.86	720,900,0.56
O31	9	5	2	H40	5.9	4.12	1080,1260,0.36
O31	9	5	3	H172	3.09	4.46	630,810,0.47
O32	8	10	1	H475	4.46	0.76	660,840,0.72
O32	8	10	2	H1691	0.86	2.16	600,780,0.24
O32	8	10	3	H345	1.44	4.1	630,810,0.91
O33	10	4	1	H339	0.34	1.38	900,1080,0.43
O33	10	4	2	H1482	2.69	1.5	1080,1260,0.35
O33	10	4	3	H1721	1.28	3.36	1080,1260,0.21
O34	10	6	1	H2318	1.71	3.71	1020,1200,0.73
O34	10	6	2	H2208	3.86	2.64	960,1140,0.7
O34	10	6	3	H1182	4.27	2.61	720,900,0.25
O35	2	5	1	H530	0.56	2.09	840,1020,0.38
O35	2	5	2	H2917	3.22	4.28	1080,1260,0.54
O35	2	5	3	H2494	3.3	4.9	570,750,0.41
O36	4	9	1	H1827	3.59	1.39	540,720,0.33
O36	4	9	2	H2426	5.21	1.41	960,1140,0.23
O36	4	9	3	H810	2.66	1.15	690,870,0.91
O37	9	8	1	H435	0.26	2.14	570,750,0.6
O37	9	8	2	H1012	5.21	0.4	900,1080,0.34
O37	9	8	3	H525	2.48	4.21	630,810,0.81
O38	10	4	1	H624	3.71	1.23	630,810,0.74
O38	10	4	2	H2986	3.05	0.67	900,1080,0.33
O38	10	4	3	H2567	5.42	3.7	600,780,0.46
O39	4	8	1	H791	3.63	0.1	840,1020,0.71
O39	4	8	2	H2590	1.17	1.04	720,900,0.52
O39	4	8	3	H2632	2.67	1.49	1080,1260,0.61
O40	3	3	1	H1050	3.18	4.89	600,780,0.8
O40	3	3	2	H621	2.15	0.59	540,720,0.4
O40	3	3	3	H831	2.96	1.73	960,1140,0.53
O41	2	2	1	H2583	2.02	4.59	690,870,0.81
O41	2	2	2	H640	2.88	1.28	840,1020,0.23
O41	2	2	3	H664	3.73	2.26	1080,1260,0.85
O42	6	8	1	H1392	1.5	1.36	840,1020,0.72
O42	6	8	2	H1198	3.32	3.12	1050,1230,0.35
O42	6	8	3	H938	4.33	4.14	660,840,0.42
O43	7	8	1	H1923	5.77	1.25	540,720,0.79
O43	7	8	2	H761	5.9	1.79	1020,1200,0.62
O43	7	8	3	H2025	4.82	4.16	570,750,0.32
O44	4	8	1	H2807	0.89	1.18	1080,1260,0.67
O44	4	8	2	H1031	0.65	4.42	840,1020,0.94
O44	4	8	3	H1929	4.26	4.18	690,870,0.72
O45	10	3	1	H610	4.26	4.3	600,780,0.75
O45	10	3	2	H2215	5.26	4.25	570,750,0.98
O45	10	3	3	H2793	1.54	4.25	600,780,0.41
O46	1	4	1	H1903	5.34	5.44	600,780,0.91
O46	1	4	2	H271	2.41	4.72	660,840,0.2
O46	1	4	3	H1942	4.65	0.67	840,1020,0.31
O47	5	1	1	H2938	1.59	4.34	1020,1200,0.31
