NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
25	99	46	77	3.01	3.05	600	1260

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	1	5	1	H2436	4.07	3.52	540,720,0.87
O1	1	5	2	H1690	1.16	2.24	840,1020,0.73
O1	1	5	3	H2559	5.62	2.89	900,1080,0.77
O2	6	2	1	H67	0.08	5.48	540,720,0.33
O2	6	2	2	H2463	5.29	5.64	1020,1200,0.5
O2	6	2	3	H2550	0.44	2.49	600,780,0.33
O3	1	8	1	H1408	2.78	0.96	660,840,0.57
O3	1	8	2	H894	0.7	5.38	870,1050,0.41
O3	1	8	3	H2466	0.76	1.7	600,780,0.35
O4	6	2	1	H809	2.98	1.43	870,1050,0.33
O4	6	2	2	H1590	0.03	5.83	1020,1200,0.61
O4	6	2	3	H1032	0.35	2.96	900,1080,0.84
O5	9	3	1	H925	5.88	4.85	600,780,0.56
O5	9	3	2	H1258	3.69	4.15	870,1050,0.7
O5	9	3	3	H2526	0.06	3.36	1020,1200,0.29
O6	6	10	1	H1133	2.51	3.61	900,1080,0.48
O6	6	10	2	H1024	1.25	1.25	630,810,0.56
O6	6	10	3	H1775	4.95	0.53	960,1140,0.74
O7	3	5	1	H2540	0.73	1.37	720,900,0.27
O7	3	5	2	H1047	4.08	2.43	870,1050,0.91
O7	3	5	3	H2041	0.18	2.86	690,870,0.66
O8	9	5	1	H1849	3.65	4.64	540,720,0.99
O8	9	5	2	H2521	5.0	3.46	900,1080,0.51
O8	9	5	3	H375	4.42	2.58	540,720,0.54
O9	3	10	1	H2159	5.11	5.37	630,810,0.33
O9	3	10	2	H2148	3.11	1.75	600,780,0.67
O9	3	10	3	H1974	0.25	1.28	540,720,0.48
O10	7	7	1	H1681	0.37	4.19	600,780,0.98
O10	7	7	2	H2345	2.63	0.34	900,1080,0.81
