NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	53	56	89	2.98	3.05	540	1260

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	2	1	1	H55	3.0	3.74	720,900,0.88
O1	2	1	2	H179	1.14	4.72	690,870,0.59
O1	2	1	3	H204	2.72	0.26	630,810,0.42
O2	7	6	1	H73	0.17	2.96	570,750,0.85
O2	7	6	2	H25	4.55	2.26	1020,1200,0.42
O2	7	6	3	H155	3.37	0.02	720,900,0.62
O3	1	5	1	H7	1.75	3.31	960,1140,0.89
O3	1	5	2	H47	1.43	0.73	570,750,0.4
O3	1	5	3	H37	0.07	5.01	690,870,0.39
O4	5	9	1	H186	1.41	0.23	840,1020,0.48
O4	5	9	2	H216	1.26	5.74	660,840,0.88
O4	5	9	3	H35	2.95	2.43	840,1020,0.78
O5	4	5	1	H9	0.45	4.66	1050,1230,0.47
O5	4	5	2	H163	4.81	5.28	600,780,0.49
O5	4	5	3	H210	4.61	1.69	570,750,0.69
O6	3	10	1	H16	4.47	0.83	1020,1200,0.48
O6	3	10	2	H62	0.32	4.49	960,1140,0.91
O6	3	10	3	H158	3.47	3.65	630,810,0.58
O7	6	10	1	H162	4.2	4.88	840,1020,0.55
O7	6	10	2	H190	5.66	2.36	960,1140,0.75
O7	6	10	3	H264	4.95	2.58	1050,1230,0.76
O8	3	6	1	H175	4.96	3.22	960,1140,0.29
O8	3	6	2	H212	3.41	1.58	870,1050,0.46
O8	3	6	3	H96	5.93	1.85	870,1050,0.55
O9	7	3	1	H249	2.47	1.78	870,1050,0.34
O9	7	3	2	H295	1.77	4.86	960,1140,0.62
O9	7	3	3	H23	4.86	0.44	840,1020,0.69
O10	5	8	1	H137	1.8	4.77	570,750,0.96
O10	5	8	2	H215	3.46	1.98	840,1020,0.95
O10	5	8	3	H106	1.39	4.76	540,720,0.44
O11	6	9	1	H190	5.66	2.36	960,1140,0.75
O11	6	9	2	H19	4.4	1.59	960,1140,0.91
O11	6	9	3	H259	3.81	1.25	900,1080,0.29
O12	2	8	1	H297	1.76	3.14	870,1050,0.46
O12	2	8	2	H106	1.39	4.76	540,720,0.44
O12	2	8	3	H64	3.99	0.46	720,900,0.99
O13	3	2	1	H257	3.33	4.15	600,780,0.5
O13	3	2	2	H30	3.44	5.92	840,1020,0.46
O13	3	2	3	H138	1.0	2.93	630,810,0.75
O14	2	8	1	H110	2.78	0.22	600,780,0.26
O14	2	8	2	H125	3.58	5.4	720,900,0.4
O14	2	8	3	H183	1.48	5.81	570,750,0.96
O15	6	2	1	H102	3.47	2.1	1020,1200,0.87
O15	6	2	2	H287	3.59	4.03	720,900,0.34
O15	6	2	3	H86	0.65	3.16	570,750,0.46
O16	8	3	1	H22	4.8	3.99	900,1080,0.62
O16	8	3	2	H104	2.49	3.03	1050,1230,0.38
O16	8	3	3	H191	4.66	0.99	1050,1230,0.29
O17	9	8	1	H68	4.05	1.89	690,870,0.28
O17	9	8	2	H173	2.75	0.79	600,780,0.67
O17	9	8	3	H220	3.87	2.16	570,750,0.65
O18	4	5	1	H169	1.02	0.39	540,720,0.44
O18	4	5	2	H216	1.26	5.74	660,840,0.88
O18	4	5	3	H138	1.0	2.93	630,810,0.75
O19	8	4	1	H266	0.77	5.58	570,750,0.32
O19	8	4	2	H197	5.83	0.23	720,900,0.22
O19	8	4	3	H95	5.22	3.96	660,840,0.31
O20	10	3	1	H108	4.45	5.15	900,1080,0.95
O20	10	3	2	H114	0.13	4.05	900,1080,0.95
O20	10	3	3	H108	4.45	5.15	900,1080,0.95
