NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	55	56	97	2.96	2.96	600	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	3	9	1	H90	1.9	2.26	540,720,0.24
O1	3	9	2	H185	0.39	0.36	840,1020,0.68
O1	3	9	3	H34	3.19	0.13	690,870,0.47
O2	10	10	1	H280	3.86	2.71	660,840,0.39
O2	10	10	2	H94	0.86	1.59	1080,1260,0.47
O2	10	10	3	H216	5.72	2.6	600,780,0.84
O3	10	10	1	H122	5.01	2.08	630,810,0.27
O3	10	10	2	H184	3.4	0.11	720,900,0.68
O3	10	10	3	H266	0.99	0.41	1020,1200,0.65
O4	9	10	1	H178	2.49	0.64	1050,1230,0.67
O4	9	10	2	H25	1.58	2.86	960,1140,0.76
O4	9	10	3	H84	4.45	2.74	720,900,0.96
O5	5	6	1	H28	5.4	1.72	960,1140,0.86
O5	5	6	2	H14	2.8	3.6	900,1080,0.52
O5	5	6	3	H147	2.93	4.85	840,1020,0.43
O6	10	2	1	H278	2.9	1.9	630,810,0.25
O6	10	2	2	H176	2.25	1.99	960,1140,0.98
O6	10	2	3	H117	3.72	3.9	630,810,0.93
O7	7	7	1	H139	5.75	3.06	690,870,0.25
O7	7	7	2	H99	4.91	1.93	960,1140,0.95
O7	7	7	3	H52	0.28	5.75	540,720,0.46
O8	2	3	1	H132	5.6	1.84	630,810,0.36
O8	2	3	2	H196	4.68	5.91	840,1020,0.56
O8	2	3	3	H67	0.62	3.25	570,750,0.73
O9	2	4	1	H52	0.28	5.75	540,720,0.46
O9	2	4	2	H154	2.8	0.25	840,1020,0.21
O9	2	4	3	H5	3.15	3.2	720,900,0.95
O10	1	1	1	H68	4.09	1.5	660,840,0.78
O10	1	1	2	H114	0.53	2.52	1020,1200,0.58
O10	1	1	3	H29	5.5	0.52	1050,1230,0.7
O11	8	10	1	H142	0.43	1.45	570,750,0.56
O11	8	10	2	H58	2.73	2.99	660,840,0.82
O11	8	10	3	H222	5.9	2.73	630,810,0.25
O12	8	10	1	H250	0.11	1.05	540,720,0.67
O12	8	10	2	H268	2.98	5.09	960,1140,0.76
O12	8	10	3	H63	5.87	0.31	570,750,0.57
O13	8	10	1	H234	0.42	1.69	690,870,0.61
O13	8	10	2	H213	5.32	5.94	630,810,0.35
O13	8	10	3	H267	4.84	1.83	1020,1200,0.65
O14	3	3	1	H146	2.98	3.29	720,900,0.95
O14	3	3	2	H137	5.88	4.12	900,1080,0.46
O14	3	3	3	H273	0.59	2.43	540,720,0.82
O15	7	9	1	H199	3.49	2.94	1020,1200,0.92
O15	7	9	2	H146	2.98	3.29	720,900,0.95
O15	7	9	3	H186	2.45	0.66	870,1050,0.69
O16	3	8	1	H8	0.1	3.24	720,900,0.52
O16	3	8	2	H61	3.38	1.8	900,1080,0.33
O16	3	8	3	H121	5.33	1.92	660,840,0.57
O17	5	3	1	H119	0.0	2.3	870,1050,0.71
O17	5	3	2	H182	1.1	5.53	720,900,0.45
O17	5	3	3	H254	3.45	3.87	720,900,0.67
O18	6	5	1	H37	2.57	2.67	1050,1230,0.21
O18	6	5	2	H273	0.59	2.43	540,720,0.82
O18	6	5	3	H66	5.4	3.05	660,840,0.56
O19	2	10	1	H84	4.45	2.74	720,900,0.96
O19	2	10	2	H23	3.16	0.27	1080,1260,0.8
O19	2	10	3	H61	3.38	1.8	900,1080,0.33
O20	5	8	1	H267	4.84	1.83	1020,1200,0.65
O20	5	8	2	H72	3.16	4.9	960,1140,0.51
O20	5	8	3	H226	4.3	4.78	690,870,0.97
O21	7	8	1	H168	0.38	3.73	870,1050,0.5
O21	7	8	2	H109	0.1	5.78	690,870,0.87
O21	7	8	3	H77	2.95	5.16	600,780,0.36
O22	8	3	1	H222	5.9	2.73	630,810,0.25
O22	8	3	2	H74	0.56	0.12	1020,1200,0.83
O22	8	3	3	H44	3.04	3.11	1080,1260,0.22
O23	5	6	1	H47	3.03	2.49	900,1080,0.33
O23	5	6	2	H186	2.45	0.66	870,1050,0.69
O23	5	6	3	H123	5.84	1.76	630,810,0.87
O24	10	9	1	H197	0.94	2.2	630,810,0.86
O24	10	9	2	H113	2.59	3.22	840,1020,0.72
O24	10	9	3	H204	1.28	2.08	720,900,0.76
O25	1	3	1	H227	2.84	2.49	690,870,0.28
