NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	69	48	84	3.24	3.14	570	1260

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	10	1	1	H272	2.19	0.17	600,780,0.53
O1	10	1	2	H29	0.7	2.54	720,900,0.88
O1	10	1	3	H205	1.62	1.76	1020,1200,0.46
O2	8	5	1	H298	5.88	2.86	1020,1200,0.21
O2	8	5	2	H286	2.79	0.79	660,840,0.3
O2	8	5	3	H217	1.27	4.59	900,1080,0.86
O3	7	3	1	H167	0.87	4.99	600,780,0.69
O3	7	3	2	H249	4.38	5.25	600,780,0.96
O3	7	3	3	H23	2.99	2.53	720,900,0.88
O4	5	8	1	H113	3.53	0.84	630,810,0.72
O4	5	8	2	H58	2.1	2.58	660,840,0.93
O4	5	8	3	H131	1.84	3.2	690,870,0.67
O5	10	3	1	H295	4.0	2.59	960,1140,0.3
O5	10	3	2	H38	3.17	0.52	900,1080,0.86
O5	10	3	3	H152	0.46	0.25	960,1140,0.99
O6	4	4	1	H240	1.29	4.36	720,900,0.34
O6	4	4	2	H246	4.24	3.82	960,1140,0.74
O6	4	4	3	H286	2.79	0.79	660,840,0.3
O7	3	3	1	H229	0.36	0.2	690,870,0.6
O7	3	3	2	H158	5.03	4.55	600,780,0.98
O7	3	3	3	H292	0.83	4.24	720,900,0.83
O8	1	7	1	H297	5.58	5.73	660,840,0.45
O8	1	7	2	H238	3.88	4.22	570,750,0.56
O8	1	7	3	H295	4.0	2.59	960,1140,0.3
O9	10	1	1	H1	1.18	2.13	630,810,0.23
O9	10	1	2	H14	2.28	4.65	540,720,0.65
O9	10	1	3	H172	4.78	2.45	870,1050,0.95
O10	2	7	1	H199	2.88	1.57	660,840,0.8
O10	2	7	2	H225	4.3	1.27	840,1020,0.92
O10	2	7	3	H154	2.89	0.84	1020,1200,0.37
O11	7	3	1	H76	1.62	3.01	660,840,0.61
O11	7	3	2	H215	2.65	2.39	1020,1200,0.53
O11	7	3	3	H192	3.32	4.81	1050,1230,0.93
O12	3	9	1	H271	2.64	5.49	840,1020,0.7
O12	3	9	2	H87	5.37	1.18	900,1080,0.29
O12	3	9	3	H42	2.79	3.73	690,870,0.94
O13	7	9	1	H235	4.63	2.71	690,870,0.87
O13	7	9	2	H171	2.56	3.1	540,720,0.56
O13	7	9	3	H153	2.42	5.41	600,780,0.38
