NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	74	43	97	3.01	2.91	570	1290

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	2	6	1	H251	5.37	0.27	1080,1260,0.5
O1	2	6	2	H195	3.22	1.58	870,1050,0.6
O1	2	6	3	H108	4.82	1.23	900,1080,0.53
O2	3	4	1	H38	3.44	0.65	690,870,0.81
O2	3	4	2	H154	5.95	4.25	540,720,0.72
O2	3	4	3	H252	2.7	3.43	1020,1200,0.55
O3	4	2	1	H132	5.04	4.14	570,750,0.35
O3	4	2	2	H32	0.48	5.21	540,720,0.45
O3	4	2	3	H239	3.67	4.08	870,1050,0.74
O4	2	4	1	H9	2.35	0.83	1050,1230,0.73
O4	2	4	2	H103	0.17	3.72	870,1050,0.53
O4	2	4	3	H37	5.94	2.26	840,1020,0.39
O5	3	2	1	H57	5.04	0.09	600,780,0.34
O5	3	2	2	H93	1.22	5.36	870,1050,0.22
O5	3	2	3	H7	5.17	3.68	870,1050,0.41
O6	9	3	1	H25	4.11	0.12	960,1140,0.54
O6	9	3	2	H288	3.86	2.6	1080,1260,0.38
O6	9	3	3	H141	4.76	2.21	900,1080,0.55
O7	3	6	1	H116	2.74	5.68	870,1050,0.68
O7	3	6	2	H224	5.82	0.23	1050,1230,0.62
O7	3	6	3	H83	5.85	3.25	870,1050,0.26
O8	5	1	1	H144	5.63	5.15	690,870,0.96
O8	5	1	2	H261	4.03	5.03	1050,1230,0.9
O8	5	1	3	H43	2.1	2.44	630,810,0.28
O9	5	9	1	H232	0.61	3.04	540,720,0.78
O9	5	9	2	H145	4.82	1.43	1080,1260,0.96
O9	5	9	3	H18	4.6	4.29	630,810,0.68
O10	1	7	1	H88	4.59	2.5	660,840,0.79
O10	1	7	2	H259	1.75	4.19	1080,1260,0.48
O10	1	7	3	H208	4.54	2.46	1050,1230,0.9
O11	2	7	1	H126	3.79	0.75	720,900,0.63
O11	2	7	2	H219	1.22	4.17	900,1080,0.78
O11	2	7	3	H115	0.34	2.72	570,750,0.67
O12	8	6	1	H298	2.98	2.45	660,840,0.83
O12	8	6	2	H25	4.11	0.12	960,1140,0.54
O12	8	6	3	H124	0.14	5.83	840,1020,0.42
O13	5	5	1	H218	0.45	5.92	870,1050,0.7
O13	5	5	2	H90	2.85	4.04	1020,1200,0.91
O13	5	5	3	H198	5.54	4.04	720,900,0.33
O14	5	10	1	H151	3.6	3.44	660,840,0.7
O14	5	10	2	H294	0.33	1.67	900,1080,0.7
O14	5	10	3	H38	3.44	0.65	690,870,0.81
O15	8	9	1	H293	1.95	0.21	540,720,0.58
O15	8	9	2	H212	5.92	5.94	720,900,0.21
O15	8	9	3	H180	1.62	0.8	570,750,0.56
O16	2	8	1	H297	5.74	2.63	630,810,0.31
O16	2	8	2	H185	2.99	5.7	630,810,0.24
O16	2	8	3	H254	2.18	2.93	1050,1230,0.43
O17	2	1	1	H206	5.95	1.73	1050,1230,0.93
O17	2	1	2	H79	2.77	5.5	960,1140,0.2
O17	2	1	3	H63	1.58	3.93	690,870,0.99
O18	2	9	1	H113	4.55	0.43	900,1080,0.75
O18	2	9	2	H72	3.5	4.58	960,1140,0.28
O18	2	9	3	H213	0.7	1.46	570,750,0.92
O19	9	3	1	H272	5.02	1.86	870,1050,0.91
O19	9	3	2	H69	5.75	0.14	600,780,0.67
O19	9	3	3	H26	0.01	4.34	1020,1200,0.86
O20	5	3	1	H235	1.79	5.23	540,720,0.9
O20	5	3	2	H8	1.15	0.94	1080,1260,0.82
O20	5	3	3	H224	5.82	0.23	1050,1230,0.62
O21	10	3	1	H285	3.18	0.88	840,1020,0.71
O21	10	3	2	H245	5.38	1.75	540,720,0.46
O21	10	3	3	H227	0.51	0.72	690,870,0.89
O22	5	2	1	H191	4.25	4.67	570,750,0.77
O22	5	2	2	H151	3.6	3.44	660,840,0.7
O22	5	2	3	H167	2.3	5.95	660,840,0.43
O23	3	9	1	H272	5.02	1.86	870,1050,0.91
O23	3	9	2	H155	0.31	4.5	690,870,0.93
O23	3	9	3	H250	3.5	3.33	840,1020,0.3
O24	2	6	1	H125	1.76	1.59	540,720,0.49
O24	2	6	2	H234	1.6	0.82	630,810,0.79
O24	2	6	3	H21	1.58	4.9	1080,1260,0.27
O25	7	3	1	H81	2.61	1.25	900,1080,0.36
O25	7	3	2	H146	4.8	2.72	1020,1200,0.53
O25	7	3	3	H114	5.58	5.7	1020,1200,0.62
O26	3	8	1	H252	2.7	3.43	1020,1200,0.55
O26	3	8	2	H220	5.17	5.07	720,900,0.21
O26	3	8	3	H234	1.6	0.82	630,810,0.79
O27	1	6	1	H1	3.83	4.6	660,840,0.53
O27	1	6	2	H233	0.85	0.59	720,900,0.23
O27	1	6	3	H152	5.57	4.81	690,870,0.53
O28	6	9	1	H169	3.11	5.58	840,1020,0.67
O28	6	9	2	H63	1.58	3.93	690,870,0.99
O28	6	9	3	H76	1.05	4.45	1080,1260,0.42
O29	5	7	1	H219	1.22	4.17	900,1080,0.78
O29	5	7	2	H119	4.02	1.29	1080,1260,0.65
O29	5	7	3	H48	1.91	0.74	840,1020,0.93
O30	8	3	1	H205	0.46	1.72	570,750,0.5
O30	8	3	2	H286	5.68	1.78	870,1050,0.65
O30	8	3	3	H73	2.33	3.01	840,1020,0.59
O31	10	9	1	H20	2.97	5.24	960,1140,0.69
O31	10	9	2	H34	1.64	4.88	600,780,0.91
O31	10	9	3	H202	2.3	6.0	870,1050,0.31
O32	6	5	1	H63	1.58	3.93	690,870,0.99
O32	6	5	2	H59	2.86	2.73	570,750,0.99
O32	6	5	3	H195	3.22	1.58	870,1050,0.6
O33	9	9	1	H158	1.08	4.32	1080,1260,0.91
O33	9	9	2	H199	1.99	5.7	900,1080,0.71
O33	9	9	3	H184	4.11	3.23	720,900,0.29
O34	6	3	1	H31	1.08	0.43	690,870,0.27
O34	6	3	2	H131	2.85	3.07	600,780,0.91
O34	6	3	3	H209	4.5	1.86	720,900,0.55
O35	8	4	1	H298	2.98	2.45	660,840,0.83
O35	8	4	2	H265	2.99	0.37	960,1140,0.24
O35	8	4	3	H281	2.5	0.13	690,870,0.33
O36	10	7	1	H54	0.96	5.41	840,1020,0.67
O36	10	7	2	H29	3.58	1.72	630,810,0.54
O36	10	7	3	H190	3.35	2.95	1050,1230,0.94
O37	2	10	1	H99	0.97	2.04	1050,1230,0.56
O37	2	10	2	H101	3.66	0.99	1080,1260,0.37
O37	2	10	3	H282	4.07	2.66	600,780,0.88
O38	4	5	1	H109	4.16	4.95	960,1140,0.94
O38	4	5	2	H77	4.6	5.46	900,1080,0.48
O38	4	5	3	H284	0.44	4.35	720,900,0.45
O39	7	1	1	H164	4.1	2.37	900,1080,0.57
O39	7	1	2	H60	2.09	5.63	600,780,0.68
O39	7	1	3	H108	4.82	1.23	900,1080,0.53
O40	5	2	1	H21	1.58	4.9	1080,1260,0.27
O40	5	2	2	H280	3.98	3.4	570,750,0.58
O40	5	2	3	H283	5.9	0.46	1080,1260,0.36
O41	9	3	1	H195	3.22	1.58	870,1050,0.6
O41	9	3	2	H169	3.11	5.58	840,1020,0.67
O41	9	3	3	H71	5.92	5.11	660,840,0.53
O42	2	1	1	H120	3.81	4.0	600,780,0.57
O42	2	1	2	H112	3.66	1.26	540,720,0.28
O42	2	1	3	H20	2.97	5.24	960,1140,0.69
O43	5	7	1	H241	3.89	1.77	720,900,0.36
O43	5	7	2	H138	4.98	0.09	870,1050,0.49
O43	5	7	3	H140	2.76	2.35	1080,1260,0.42
O44	7	8	1	H93	1.22	5.36	870,1050,0.22
O44	7	8	2	H219	1.22	4.17	900,1080,0.78
O44	7	8	3	H236	2.76	3.6	540,720,0.63
O45	8	5	1	H63	1.58	3.93	690,870,0.99
O45	8	5	2	H66	2.98	0.81	720,900,0.79
O45	8	5	3	H184	4.11	3.23	720,900,0.29
O46	3	9	1	H252	2.7	3.43	1020,1200,0.55
O46	3	9	2	H113	4.55	0.43	900,1080,0.75
O46	3	9	3	H44	1.71	2.86	1050,1230,0.23
O47	9	5	1	H69	5.75	0.14	600,780,0.67
O47	9	5	2	H142	3.68	0.72	720,900,0.76
O47	9	5	3	H268	2.47	4.17	660,840,0.54
O48	2	3	1	H167	2.3	5.95	660,840,0.43
O48	2	3	2	H260	0.28	3.35	690,870,0.31
O48	2	3	3	H172	2.32	1.91	600,780,0.3
O49	2	4	1	H101	3.66	0.99	1080,1260,0.37
O49	2	4	2	H26	0.01	4.34	1020,1200,0.86
O49	2	4	3	H242	3.33	2.75	900,1080,0.63
O50	4	4	1	H121	4.96	4.53	1050,1230,0.22
O50	4	4	2	H223	5.57	5.87	840,1020,0.73
O50	4	4	3	H239	3.67	4.08	870,1050,0.74
O51	5	2	1	H118	2.63	3.53	960,1140,0.55
O51	5	2	2	H136	5.34	0.16	840,1020,0.38
O51	5	2	3	H255	0.78	1.34	960,1140,0.78
O52	1	7	1	H128	2.32	3.47	1050,1230,0.62
O52	1	7	2	H3	1.06	5.49	1080,1260,0.38
O52	1	7	3	H105	0.19	0.57	900,1080,0.29
O53	7	1	1	H186	1.74	5.39	540,720,0.92
O53	7	1	2	H31	1.08	0.43	690,870,0.27
O53	7	1	3	H139	1.02	0.68	570,750,0.47
O54	9	6	1	H246	0.99	1.07	900,1080,0.56
O54	9	6	2	H85	3.88	0.97	1020,1200,0.47
O54	9	6	3	H9	2.35	0.83	1050,1230,0.73
O55	4	4	1	H52	4.21	1.07	600,780,0.3
O55	4	4	2	H121	4.96	4.53	1050,1230,0.22
O55	4	4	3	H28	4.17	4.58	540,720,0.26
O56	6	6	1	H50	4.36	0.14	690,870,0.71
O56	6	6	2	H104	1.05	4.21	660,840,0.28
O56	6	6	3	H86	4.39	1.26	1050,1230,0.41
O57	3	9	1	H284	0.44	4.35	720,900,0.45
O57	3	9	2	H96	3.52	4.75	600,780,0.8
O57	3	9	3	H281	2.5	0.13	690,870,0.33
O58	1	9	1	H167	2.3	5.95	660,840,0.43
O58	1	9	2	H210	5.75	0.78	690,870,0.35
O58	1	9	3	H13	5.18	1.05	660,840,0.45
O59	7	4	1	H116	2.74	5.68	870,1050,0.68
O59	7	4	2	H159	3.59	0.45	1080,1260,0.73
O59	7	4	3	H240	5.61	5.37	1080,1260,0.66
O60	3	3	1	H71	5.92	5.11	660,840,0.53
O60	3	3	2	H90	2.85	4.04	1020,1200,0.91
O60	3	3	3	H283	5.9	0.46	1080,1260,0.36
O61	8	6	1	H167	2.3	5.95	660,840,0.43
O61	8	6	2	H123	4.07	0.24	600,780,0.48
O61	8	6	3	H130	3.04	0.14	960,1140,0.46
O62	5	9	1	H17	1.95	2.65	600,780,0.63
O62	5	9	2	H2	3.53	5.18	1080,1260,0.64
O62	5	9	3	H132	5.04	4.14	570,750,0.35
O63	2	8	1	H216	5.24	1.21	840,1020,0.98
O63	2	8	2	H121	4.96	4.53	1050,1230,0.22
O63	2	8	3	H48	1.91	0.74	840,1020,0.93
O64	8	10	1	H230	5.17	1.25	630,810,0.3
O64	8	10	2	H65	2.63	2.25	960,1140,0.56
O64	8	10	3	H107	4.54	0.82	1020,1200,0.56
O65	3	5	1	H134	4.83	1.81	870,1050,0.87
O65	3	5	2	H125	1.76	1.59	540,720,0.49
O65	3	5	3	H299	1.67	3.3	840,1020,0.36
O66	4	5	1	H119	4.02	1.29	1080,1260,0.65
O66	4	5	2	H202	2.3	6.0	870,1050,0.31
O66	4	5	3	H20	2.97	5.24	960,1140,0.69
O67	10	5	1	H182	5.36	4.95	630,810,0.65
O67	10	5	2	H168	2.74	2.85	600,780,0.23
O67	10	5	3	H3	1.06	5.49	1080,1260,0.38
O68	5	1	1	H131	2.85	3.07	600,780,0.91
O68	5	1	2	H133	2.97	0.62	960,1140,0.79
O68	5	1	3	H2	3.53	5.18	1080,1260,0.64
O69	9	5	1	H60	2.09	5.63	600,780,0.68
O69	9	5	2	H59	2.86	2.73	570,750,0.99
O69	9	5	3	H286	5.68	1.78	870,1050,0.65
O70	4	5	1	H221	3.7	0.47	1050,1230,0.36
O70	4	5	2	H96	3.52	4.75	600,780,0.8
O70	4	5	3	H186	1.74	5.39	540,720,0.92
O71	10	6	1	H189	0.54	2.0	1050,1230,0.81
O71	10	6	2	H173	3.51	5.57	960,1140,0.94
