NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	99	58	94	2.87	2.61	540	1320

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	10	3	1	H25	4.01	2.02	840,1020,0.66
O1	10	3	2	H237	3.83	2.23	1050,1230,0.28
O1	10	3	3	H156	5.51	2.4	900,1080,0.87
O2	6	3	1	H13	2.43	3.94	900,1080,0.86
O2	6	3	2	H48	3.12	4.37	960,1140,0.87
O2	6	3	3	H164	1.25	1.29	630,810,0.9
O3	10	5	1	H124	5.26	4.59	1050,1230,0.71
O3	10	5	2	H130	5.44	1.42	690,870,0.92
O3	10	5	3	H193	5.03	2.95	870,1050,0.51
O4	9	1	1	H79	2.46	3.48	900,1080,0.36
O4	9	1	2	H167	1.94	0.23	1080,1260,0.56
O4	9	1	3	H96	2.77	0.61	870,1050,0.26
O5	8	6	1	H135	3.83	0.3	1050,1230,0.72
O5	8	6	2	H127	4.87	0.83	1080,1260,0.58
O5	8	6	3	H261	2.34	4.56	1080,1260,0.51
O6	3	10	1	H75	4.71	1.13	1020,1200,0.22
O6	3	10	2	H20	5.86	4.68	540,720,0.44
O6	3	10	3	H269	2.65	4.89	1080,1260,0.49
O7	10	4	1	H276	0.56	2.91	630,810,0.67
O7	10	4	2	H55	3.89	3.23	1020,1200,0.69
O7	10	4	3	H224	3.78	5.64	630,810,0.74
O8	10	6	1	H70	1.32	4.83	870,1050,0.82
O8	10	6	2	H103	3.18	2.01	1050,1230,0.8
O8	10	6	3	H240	2.03	4.76	660,840,0.28
O9	1	2	1	H234	0.76	3.22	630,810,0.61
O9	1	2	2	H91	4.15	5.83	690,870,0.67
O9	1	2	3	H149	5.23	1.65	720,900,0.48
O10	6	6	1	H159	4.08	1.12	630,810,0.8
O10	6	6	2	H254	0.32	5.69	600,780,0.48
O10	6	6	3	H210	5.23	4.24	1050,1230,0.4
O11	9	7	1	H177	0.98	5.15	900,1080,0.47
O11	9	7	2	H22	5.19	5.12	1020,1200,0.4
O11	9	7	3	H246	4.61	3.23	540,720,0.84
O12	9	5	1	H120	5.18	3.78	540,720,0.77
O12	9	5	2	H192	0.83	2.11	1050,1230,0.37
O12	9	5	3	H19	2.99	3.75	660,840,0.53
O13	8	9	1	H181	3.77	1.29	660,840,0.47
O13	8	9	2	H277	3.72	4.69	900,1080,0.46
O13	8	9	3	H196	3.53	1.37	840,1020,0.76
O14	8	5	1	H111	3.41	0.12	690,870,0.65
O14	8	5	2	H156	5.51	2.4	900,1080,0.87
O14	8	5	3	H251	3.01	2.26	900,1080,0.92
O15	7	7	1	H198	4.4	2.82	690,870,0.35
O15	7	7	2	H166	1.62	4.32	960,1140,0.9
