NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	95	49	100	2.85	3.04	600	1260

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	7	10	1	H100	3.72	1.38	1050,1230,0.68
O1	7	10	2	H294	3.11	2.47	690,870,0.2
O1	7	10	3	H165	1.83	2.26	660,840,0.4
O2	1	10	1	H181	1.48	1.34	870,1050,0.34
O2	1	10	2	H43	5.55	5.03	630,810,0.53
O2	1	10	3	H144	5.21	2.85	840,1020,0.74
O3	2	10	1	H56	2.44	0.91	720,900,0.52
O3	2	10	2	H55	0.97	0.17	540,720,0.21
O3	2	10	3	H180	1.16	2.52	1050,1230,0.36
O4	2	10	1	H294	3.11	2.47	690,870,0.2
O4	2	10	2	H145	2.95	0.5	1050,1230,0.75
O4	2	10	3	H290	4.8	2.75	630,810,0.39
O5	1	10	1	H264	3.49	3.12	720,900,0.76
O5	1	10	2	H54	3.15	4.8	900,1080,0.24
O5	1	10	3	H172	1.82	5.56	1020,1200,0.51
O6	8	4	1	H60	5.21	4.49	870,1050,0.98
O6	8	4	2	H138	2.24	4.37	1050,1230,0.86
O6	8	4	3	H205	1.86	1.52	540,720,0.98
O7	4	2	1	H149	1.75	4.24	960,1140,0.44
O7	4	2	2	H135	0.43	2.91	660,840,0.72
O7	4	2	3	H284	1.71	1.55	540,720,0.5
O8	6	10	1	H185	0.43	2.58	1050,1230,0.64
O8	6	10	2	H295	4.39	3.24	840,1020,0.9
O8	6	10	3	H116	1.67	3.01	870,1050,0.46
O9	7	3	1	H105	0.09	0.09	540,720,0.72
O9	7	3	2	H235	2.86	2.15	840,1020,0.73
O9	7	3	3	H220	5.36	0.93	630,810,0.27
O10	10	3	1	H37	3.93	1.48	960,1140,0.38
O10	10	3	2	H145	2.95	0.5	1050,1230,0.75
O10	10	3	3	H42	3.16	4.85	600,780,0.62
O11	7	5	1	H156	3.6	4.82	570,750,0.38
O11	7	5	2	H88	5.12	1.56	870,1050,0.33
O11	7	5	3	H8	3.29	3.14	540,720,0.36
O12	8	8	1	H17	2.48	4.71	900,1080,0.85
O12	8	8	2	H14	2.89	1.17	690,870,0.86
O12	8	8	3	H224	2.64	4.42	870,1050,0.73
O13	7	8	1	H94	3.89	2.56	690,870,0.44
O13	7	8	2	H2	0.91	1.98	720,900,0.85
O13	7	8	3	H246	2.39	0.79	900,1080,0.71
O14	5	6	1	H209	3.6	5.33	600,780,0.43
O14	5	6	2	H218	0.52	5.68	690,870,0.54
O14	5	6	3	H199	1.31	4.57	630,810,0.48
O15	9	6	1	H15	2.44	2.04	630,810,0.2
O15	9	6	2	H263	0.85	1.95	1050,1230,0.85
O15	9	6	3	H154	2.48	1.51	1020,1200,0.71
O16	9	8	1	H146	1.04	1.11	870,1050,0.38
O16	9	8	2	H145	2.95	0.5	1050,1230,0.75
O16	9	8	3	H176	2.19	0.1	570,750,0.94
O17	2	8	1	H248	0.23	3.54	840,1020,0.22
O17	2	8	2	H138	2.24	4.37	1050,1230,0.86
O17	2	8	3	H50	1.76	2.56	900,1080,0.37
O18	10	3	1	H215	5.13	2.62	660,840,0.63
O18	10	3	2	H130	1.83	4.24	540,720,0.83
O18	10	3	3	H15	2.44	2.04	630,810,0.2
O19	3	5	1	H265	3.44	2.57	630,810,0.98
O19	3	5	2	H163	3.73	4.03	840,1020,0.95
O19	3	5	3	H211	5.08	0.93	720,900,0.97
O20	9	1	1	H54	3.15	4.8	900,1080,0.24
O20	9	1	2	H92	0.33	1.03	840,1020,0.28
O20	9	1	3	H252	3.48	1.64	630,810,0.24
O21	3	3	1	H16	1.32	5.73	600,780,0.29
O21	3	3	2	H220	5.36	0.93	630,810,0.27
O21	3	3	3	H184	1.81	5.69	540,720,0.63
O22	8	7	1	H78	2.79	0.3	720,900,0.22
O22	8	7	2	H24	5.43	1.69	600,780,0.55
O22	8	7	3	H180	1.16	2.52	1050,1230,0.36
O23	9	6	1	H227	4.27	1.09	720,900,0.3
O23	9	6	2	H215	5.13	2.62	660,840,0.63
O23	9	6	3	H49	0.46	3.33	630,810,0.76
O24	9	10	1	H70	1.62	0.06	900,1080,0.77
O24	9	10	2	H6	2.32	0.0	840,1020,0.88
O24	9	10	3	H178	4.69	2.75	840,1020,0.93
O25	9	9	1	H152	3.0	2.05	870,1050,0.72
O25	9	9	2	H93	3.74	0.22	630,810,0.81
O25	9	9	3	H85	2.68	3.93	1020,1200,0.25
O26	5	5	1	H251	3.68	2.42	960,1140,0.72
O26	5	5	2	H13	1.2	0.08	630,810,0.46
O26	5	5	3	H71	5.97	2.27	1050,1230,0.76
O27	8	2	1	H134	0.07	2.43	540,720,0.96
O27	8	2	2	H145	2.95	0.5	1050,1230,0.75
O27	8	2	3	H52	4.57	3.28	540,720,0.83
O28	2	2	1	H20	4.47	4.42	540,720,0.65
O28	2	2	2	H81	2.46	2.21	540,720,0.48
O28	2	2	3	H120	3.38	5.5	600,780,0.73
O29	8	8	1	H48	3.38	2.16	1050,1230,0.8
O29	8	8	2	H66	2.58	3.48	600,780,0.75
O29	8	8	3	H162	5.24	3.78	630,810,0.98
O30	3	7	1	H12	3.83	5.65	720,900,0.73
O30	3	7	2	H88	5.12	1.56	870,1050,0.33
O30	3	7	3	H85	2.68	3.93	1020,1200,0.25
O31	5	9	1	H169	1.09	2.29	1050,1230,0.87
O31	5	9	2	H134	0.07	2.43	540,720,0.96
O31	5	9	3	H195	3.4	3.72	570,750,0.52
O32	4	5	1	H16	1.32	5.73	600,780,0.29
O32	4	5	2	H175	3.72	3.68	630,810,0.94
O32	4	5	3	H271	3.76	3.46	600,780,0.66
O33	7	1	1	H257	0.16	2.79	720,900,0.25
O33	7	1	2	H236	4.08	1.68	1020,1200,0.39
O33	7	1	3	H256	4.72	0.79	960,1140,0.53
O34	7	2	1	H274	3.46	4.34	630,810,0.52
O34	7	2	2	H263	0.85	1.95	1050,1230,0.85
O34	7	2	3	H277	5.02	4.29	720,900,0.73
O35	6	9	1	H299	3.08	4.61	960,1140,0.33
O35	6	9	2	H30	1.03	5.02	660,840,0.99
