NUM_VEHICLES	TRUCK_COST	TRUCK_SPEED	KM_COST	X_DEPOT	Y_DEPOT	TW_E	TW_L
10	98	54	81	2.98	2.83	600	1320

LOCKER_ID	X	Y	AV_CAPAC.

SHOP_ID	X	Y	TW_E1	TW_L1	TW_E2	TW_L2	AV_CAPAC.

ORDER_ID	WEIGHT	VOLUME	PRIORITY	DP_ID	X	Y	TW_PROBABILITIES
O1	7	1	1	H288	3.08	5.6	1050,1230,0.73
O1	7	1	2	H179	4.13	1.28	900,1080,0.73
O1	7	1	3	H26	5.67	5.98	600,780,0.25
O2	5	10	1	H106	3.87	5.06	570,750,0.28
O2	5	10	2	H95	4.12	3.82	900,1080,0.31
O2	5	10	3	H125	4.52	3.01	840,1020,0.88
O3	3	8	1	H127	5.98	1.37	840,1020,0.36
O3	3	8	2	H219	1.7	3.12	690,870,0.71
O3	3	8	3	H217	2.46	0.27	660,840,0.22
O4	10	4	1	H226	4.91	3.44	660,840,0.99
O4	10	4	2	H104	4.56	2.52	960,1140,0.68
O4	10	4	3	H130	4.96	1.95	690,870,0.87
O5	8	5	1	H56	0.78	4.18	1080,1260,0.99
O5	8	5	2	H251	1.72	4.14	900,1080,0.36
O5	8	5	3	H115	5.85	3.35	630,810,0.75
O6	2	2	1	H280	1.92	4.4	1080,1260,0.74
O6	2	2	2	H83	5.36	2.24	720,900,0.23
O6	2	2	3	H92	6.0	2.88	690,870,0.59
O7	2	6	1	H7	5.07	0.61	840,1020,0.77
O7	2	6	2	H295	5.59	0.21	960,1140,0.67
O7	2	6	3	H68	5.28	2.53	870,1050,0.43
O8	9	9	1	H24	2.29	1.16	690,870,0.82
O8	9	9	2	H116	2.36	5.94	870,1050,0.74
O8	9	9	3	H41	5.83	5.55	600,780,0.55
O9	2	5	1	H198	5.39	0.91	540,720,0.65
O9	2	5	2	H87	2.78	5.15	660,840,0.22
O9	2	5	3	H199	2.6	3.24	900,1080,0.35
O10	4	4	1	H268	3.77	0.1	840,1020,0.27
O10	4	4	2	H190	1.82	0.94	960,1140,0.78
O10	4	4	3	H295	5.59	0.21	960,1140,0.67
O11	6	1	1	H278	2.26	4.79	540,720,0.65
O11	6	1	2	H221	2.97	4.38	570,750,0.7
O11	6	1	3	H295	5.59	0.21	960,1140,0.67
O12	8	7	1	H243	1.09	1.31	600,780,0.83
O12	8	7	2	H25	0.67	2.95	870,1050,0.76
